fragment_id,document_id,slot,page,source_locator,locator_evidence_url,boundary_definition,transcription_status,access_basis,public_text_status,selection_role,freeze_status,preparation_note,checked_at
PDHD-F000079,PDHD-D000071,C,34,p34-limites-misiones-factor-economico,https://books.google.com/books?id=WzwXAAAAIAAJ&pg=PA36,"Printed p. 34: the paragraph beginning Es necesario declarar con franqueza and continuing through its final sentence on the relation between educational transformation and the economic basis supplied by land; exclude the preceding paragraph on mission specialization.",not_transcribed,Google_Books_direct_primary_pdf_image_inspection,metadata_only,source_criticism_salient,frozen,"Google Books PA36 maps to order 47 and physical PDF page 48, whose printed folio is p. 34. Direct visual inspection corrects the earlier popular-passage label p. 32. The official volume openly limits the explanatory and transformative reach of educational action when economic conditions remain unchanged, making this a high-value source-critical span. No source text or image is committed.",2026-09-06
PDHD-F000080,PDHD-D000071,D,PP7,pp7-title-page-bibliographic-control,https://books.google.com/books?id=WzwXAAAAIAAJ&pg=PP7,"Front-matter leaf PP7 / physical PDF page 7: bibliographic core from the Secretaría de Educación Pública line through the main title, 1932-1933 date range and México 1933 imprint; exclude Stanford library stamp, handwritten call number, margins and Google digitization watermark.",not_transcribed,Google_Books_direct_primary_pdf_image_inspection,metadata_only,control,frozen,"The Google Books page index maps PP7 to order 6 and the recovered PDF to physical page 7. Visual inspection confirms the original bibliographic title-page core and distinguishes it from later library marks and digitization artifacts. The region is intentionally non-analytical and no source image is committed.",2026-09-06
PDHD-F000093,PDHD-D000075,A,23,p23-coordinacion-maestros-agronomos-tecnica-pedagogica,https://books.google.com/books?id=X3oQAAAAYAAJ&pg=RA2-PA23,"Printed p. 23: subsection i) Coordinación de labores entre maestros y agrónomos, from the subsection heading through the sentence requiring academias at least weekly; exclude the preceding livestock paragraph and stop before j) Control de ex alumnos.",not_transcribed,Google_Books_direct_primary_pdf_image_inspection,metadata_only,explicit_pedagogical_act,frozen,"The public Google Books HTML exposed a live 37.1 MB PDF containing 1,021 physical pages. Page-index inspection establishes that the selected 1938 material belongs to the RA2 block: RA2-PA23 is order 688 and physical page 691. Visual inspection fixes reciprocal pedagogical guidance between agronomists and normal-school teachers plus weekly academias. No source text or image is committed.",2026-09-06
PDHD-F000094,PDHD-D000075,B,339,p339-departamento-supervision-funciones-autoridad,https://books.google.com/books?id=X3oQAAAAYAAJ&pg=RA2-PA339,"Printed p. 339: from the opening paragraph explaining creation and effective start of the Departamento de Supervisión through dispositions 1º, 2º and 3º; stop before disposition 4º.",not_transcribed,Google_Books_direct_primary_pdf_image_inspection,metadata_only,institutional_relation,frozen,"Google Books RA2-PA339 is order 1004 and physical PDF page 1007. Direct visual inspection fixes the supervisory authority of the Department, inspector/sector-chief staffing, compliance review and cross-dependency reporting duties as a compact institutional-relation unit. No source text or image is committed.",2026-09-06
PDHD-F000095,PDHD-D000075,C,71,p71-articulo-123-school-category-table,https://books.google.com/books?id=X3oQAAAAYAAJ&pg=RA2-PA71,"Printed p. 71: paragraph introducing the 1,455 escuelas Artículo 123 and the complete company-by-category table through the Sumas row; exclude the preceding pupil-total block and the following paragraph on private primary schools.",not_transcribed,Google_Books_direct_primary_pdf_image_inspection,metadata_only,source_criticism_salient,frozen,"Google Books RA2-PA71 is order 736 and physical PDF page 739. Direct visual inspection fixes an official classification of company-supported schools into Urbanas, Semiurbanas and Rurales, preserving the administrative categories themselves as evidence requiring source criticism. No table transcription or image is committed.",2026-09-06
PDHD-F000096,PDHD-D000075,D,269,p269-oficina-juridica-revalidacion-title-roster,https://books.google.com/books?id=X3oQAAAAYAAJ&pg=RA2-PA269,"Printed p. 269: standalone title/roster region from OFICINA JURIDICA Y DE REVALIDACION DE ESTUDIOS through JEFE: LIC. LUIS FLORES ESPONDA; exclude blank margins and the Google digitization watermark.",not_transcribed,Google_Books_direct_primary_pdf_image_inspection,metadata_only,control,frozen,"Google Books RA2-PA269 is order 934 and physical PDF page 937. Visual inspection confirms a deliberately low-pedagogical-content administrative title/roster page suitable as the control slot. No source image is committed.",2026-09-06
PDHD-F000085,PDHD-D000073,A,29,p29-ciencias-naturales-observacion-cultivo-visita,https://books.google.com/books?id=mHgQAAAAYAAJ&pg=PA29,"Printed p. 29: subsection e) Ciencias Naturales only, from its heading through the final sentence directing that the teaching follow the order suggested by the Inspector; exclude the preceding geometry paragraph and stop before item 8, Trabajos manuales.",not_transcribed,Google_Books_direct_primary_pdf_image_inspection,metadata_only,explicit_pedagogical_act,frozen,Identity-gated primary copy mHgQAAAAYAAJ explicitly identifies 31 de agosto de 1934 / Tomo II Documentos. PA29 is order 36 and physical PDF page 39. The fixed unit is an explicit natural-science teaching prescription. No source text or image is committed.,2026-09-06
PDHD-F000086,PDHD-D000073,B,53,p53-federal-programs-teacher-designation-enforcement,https://books.google.com/books?id=mHgQAAAAYAAJ&pg=PA53,"Printed p. 53: from the opening continuation specifying federal programs and federal appointment of teachers through Article 334, Article 428 bis and the following explanation of SEP enforcement authority; stop before the paragraph beginning En lo que concierne al Departamento de Enseñanza Rural.",not_transcribed,Google_Books_direct_primary_pdf_image_inspection,metadata_only,institutional_relation,frozen,"PA53 is order 60 and physical PDF page 63. Direct visual inspection fixes the relation among official curricula, federal teacher designation, monitoring and sanctioning authority. No source text or image is committed.",2026-09-06
PDHD-F000087,PDHD-D000073,C,58,p58-selection-supervision-cooperation-federalization,https://books.google.com/books?id=mHgQAAAAYAAJ&pg=PA58,"Printed p. 58: instructions 3 through 8 in full, beginning with careful teacher selection and ending with inamovilidad/escalafón protections after transfer to federal control; exclude the preceding continuation of instruction 2 and the closing salutation plus Document 9.",not_transcribed,Google_Books_direct_primary_pdf_image_inspection,metadata_only,source_criticism_salient,frozen,"PA58 is order 65 and physical PDF page 68. Direct visual inspection preserves selection, appointment, reporting, inspector supervision, pedagogical cooperation and employment status as a source-critical sequence of federalization. No source text or image is committed.",2026-09-06
PDHD-F000088,PDHD-D000073,D,PP7,pp7-1934-volume-ii-title-page-control,https://books.google.com/books?id=mHgQAAAAYAAJ&pg=PP7,"Front-matter leaf PP7 / physical PDF page 9: textual bibliographic core identifying Secretaría de Educación Pública, the Memoria title, 31 de agosto de 1934, Tomo II Documentos, Talleres Gráficos de la Nación and México 1934; exclude library marks, emblem, blank margins and Google digitization watermark.",not_transcribed,Google_Books_direct_primary_pdf_image_inspection,metadata_only,control,frozen,PP7 is order 6 and physical PDF page 9. Direct visual inspection confirms the exact 1934 volume identity and supplies a deliberately non-analytical control. Competing object 6aYQAAAAYAAJ was rejected because its primary title pages identify 1935 despite misleading catalog metadata.,2026-09-06
